,name,state,latitude,longitude,review_rating,difficulty_rank
56,Hyogo University of Teacher Education,Hyogo,34.912304,135.016373,3.83,C
57,Kobe University,Hyogo,34.726303,135.23613,3.99,A
58,Nara University of Education,Nara,34.675354,135.847336,3.91,C
59,Nara Women’s University,Nara,34.688999,135.830185,4.06,B
60,Wakayama University,Wakayama,34.266689,135.151962,3.86,C
61,Tottori University,Tottori,35.515392,134.17305,3.83,C
62,Shimane University,Shimane,35.486992,133.068192,3.84,D
63,Okayama University,Okayama,34.686493,133.917404,4.02,C
64,Hiroshima University,Hiroshima,34.400768,132.713654,4.04,B
65,Yamaguchi University,Yamaguchi,34.147755,131.467514,3.83,C
66,Tokushima University,Tokushima,34.069912,134.55983,3.81,C
67,Naruto University of Education,Tokushima,34.203056,134.605515,4.16,C
68,Kagawa University,Kagawa,34.343601,134.038727,3.89,C
69,Ehime University,Ehime,33.852291,132.773804,3.93,D
70,Kochi University,Kochi,33.550621,133.488892,3.98,D
71,University of Teacher Education Fukuoka,Fukuoka,33.812565,130.593628,3.86,C
72,Kyushu University,Fukuoka,33.597153,130.223312,4.04,A
73,Kyushu Institute of Technology,Fukuoka,33.891369,130.838516,3.83,C
74,Saga University,Saga,33.224899,130.288223,3.82,C
75,Nagasaki University,Nagasaki,32.785553,129.862564,3.88,C
76,Kumamoto University,Kumamoto,32.81321,130.727722,3.93,C
77,Oita University,Oita,33.174316,131.612869,3.89,C
78,University of Miyazaki,Miyazaki,31.828053,131.414993,3.92,C
79,Kagoshima University,Kagoshima,31.572577,130.546463,4.02,D
80,National Institute of Fitness And Sports In Kanoya,Kagoshima,31.395185,130.78717,4.05,D
81,University of The Ryukyus,Okinawa,26.24585,127.758453,3.91,D
82,National Graduate Institute For Policy Studies,Tokyo,35.664024,139.726776,5.0,
83,"The Graduate University for Advanced Studies, SOKENDAI",Kanagawa,35.272079,139.586166,4.58,
84,Japan Advanced Institute of Science And Technology,Ishikawa,36.442867,136.59256,3.58,
85,Nara Institute of Science And Technology,Nara,34.735664,135.731369,4.12,
86,Sapporo Medical University,Hokaido,43.056129,141.331436,4.09,B
87,Future University Hakodate,Hokaido,41.841949,140.766815,4.01,E
88,Kushiro Public University of Economics,Hokaido,43.018459,144.393768,3.47,E
89,Nayoro City University,Hokaido,44.364567,142.458801,4.05,C
90,SAPPORO CITY UNIVERSITY,Hokaido,42.944695,141.341125,3.94,C
91,Chitose Institute of Science And Technology,Hokaido,42.787975,141.699905,3.89,D
92,Aomori Public University,Aomori,40.754196,140.769241,3.8,E
93,Aomori University of Health And Welfare,Aomori,40.814526,140.792755,4.26,D
94,Iwate Prefectural University,Iwate,39.799114,141.131531,3.95,C
95,Miyagi Akita Prefectural University,Miyagi,38.3489,140.840469,3.8,D
96,Akita Prefectural University,Akita,39.804924,140.047287,3.93,E
97,Akita International University,Akita,39.62706,140.181107,4.18,S
98,Akita University of Art,Akita,39.685692,140.090866,3.75,D
99,Yamagata Prefectural University of Health Sciences,Yamagata,38.296722,140.346436,4.03,
100,Yamagata Prefectural Yonezawa University of Nutrition Sciences,Yamagata,37.891335,140.124496,3.9,D
101,Fukushima Medical University,Fukushima,37.689926,140.471603,3.96,C
102,The University of Aizu,Fukushima,37.523617,139.937897,4.06,E
103,Ibaraki Prefectural University of Health Sciences,Ibaraki,36.026962,140.210724,4.09,C
104,Takasaki City University of Economics,Gunma,36.34544,138.977264,3.67,C
105,Maebashi Institute of Technology,Gunma,36.363926,139.080566,3.69,E
106,Gunma Prefectural Women’s University,Gunma,36.29763,139.112442,4.17,C
107,Gunma Prefectural College of Health Sciences,Gunma,36.403595,139.095078,4.23,C
108,Saitama Prefectural University,Saitama,35.929996,139.756241,4.13,C
109,Chiba Prefectural University of Health Sciences,Chiba,35.651989,140.052032,3.66,
110,Tokyo Metropolitan University,Tokyo,35.616882,139.376968,4.06,B
111,Advanced Institute of Industrial Technology,Tokyo,35.605923,139.747803,3.65,
112,Yokohama City University,Kanagawa,35.333984,139.617783,3.87,A
113,Kanagawa University of Human Services,Kanagawa,35.273666,139.68071,4.14,C
114,Niigata College of Nursing,Niigata,37.10453,138.269821,4.05,C
115,University of Niigata Prefecture,Niigata,37.923443,139.127274,4.04,C
116,Nagaoka Institute of Design,Niigata,37.467224,138.830521,4.1,C
117,SANJO CITY UNIVERSITY,Niigata,37.643047,138.932938,,E
118,Toyama Prefectural University,Toyama,36.707066,137.097382,3.72,E
119,Komatsu University,Ishikawa,36.354458,136.416809,3.55,C
120,Ishikawa Prefectural University,Ishikawa,36.506672,136.597122,3.78,D
121,Kanazawa College of Art,Ishikawa,36.555538,136.677475,4.0,C
122,Ishikawa Prefectural Nursing University,Ishikawa,36.780563,136.73378,3.82,C
123,Fukui Prefectural University,Fukui,36.109333,136.277328,3.66,D
124,Tsuruga Nursing University,Fukui,35.641552,136.043198,3.89,C
125,Tsuru University,Yamanashi,35.539513,138.897522,3.83,B
126,Yamanashi Prefectural University,Yamanashi,35.663467,138.55629,3.8,C
127,Suwa University of Science,Nagano,36.009003,138.184799,3.85,D
128,The University of Nagano,Nagano,36.665031,138.200287,3.82,C
129,Nagano College of Nursing,Nagano,35.745735,137.933121,3.87,D
130,Nagano University,Nagano,36.372154,138.223236,3.57,C
131,Gifu Pharmaceutical University,Gifu,35.467346,136.733551,3.83,B
132,Gifu College of Nursing,Gifu,35.306019,136.685806,3.79,C
133,Institute of Advanced Media Arts and Sciences,Gifu,35.368057,136.638962,4.0,
134,Shizuoka Professional University of Agriculture,Shizuoka,34.729942,137.843948,3.0,C
135,University of Shizuoka,Shizuoka,34.995667,138.444092,3.96,C
136,Shizuoka University of Art And Culture,Shizuoka,34.713261,137.737991,4.15,C
137,Shizuoka Graduate University of Public Health,Shizuoka,35.003246,138.386093,,
138,Nagoya City University,Aichi,35.139385,136.935196,3.9,B
139,Aichi University of The Arts,Aichi,35.165203,137.05867,3.93,D
140,Aichi Prefectural University,Aichi,35.181957,137.087143,3.99,C
141,Mie Prefectural College of Nursing,Mie,34.759846,136.488571,3.92,C
142,The University of Shiga Prefecture,Shiga,35.259586,136.218903,3.96,C
143,Kyoto City University of Arts,Kyoto,34.974239,135.664642,4.04,C
144,Kyoto Prefectural University,Kyoto,35.050365,135.75975,4.03,B
145,Kyoto Prefectural University of Medicine,Kyoto,35.029552,135.756714,4.0,A
146,The University of Fukuchiyama,Kyoto,35.284485,135.127457,3.46,D
147,Osaka Metropolitan University,Osaka,34.646618,135.510162,4.03,
148,Osaka City University,Osaka,34.591904,135.505142,3.95,
149,Osaka Prefecture University,Osaka,34.547966,135.505569,3.89,
150,Kobe City University of Foreign Studies,Hyogo,34.679649,135.059891,4.03,B
151,Kobe City College of Nursing,Hyogo,34.687214,135.053818,4.15,C
152,University of Hyogo,Hyogo,34.678242,135.051086,3.72,C
153,Professional College of Arts and Tourism,Hyogo,35.539219,134.816208,3.0,D
154,Nara Medical University,Nara,34.503887,135.792542,3.63,A
155,Nara Prefectural University,Nara,34.687683,135.82103,3.54,C
156,Wakayama Medical University,Wakayama,34.187664,135.181717,3.98,B
157,Tottori University of Environmental Studies,Tottori,35.450813,134.25531,3.86,D
158,The University of Shimane,Shimane,34.885452,132.077423,3.8,C
159,Okayama Prefectural University,Okayama,34.692059,133.780289,3.96,C
160,Niimi University,Okayama,34.998795,133.439957,4.28,C
161,Prefectural University of Hiroshima,Hiroshima,34.367306,132.469666,4.0,D
162,Onomichi City University,Hiroshima,34.426105,133.162537,3.76,C
163,Hiroshima City University,Hiroshima,34.438053,132.415192,3.87,C
164,Fukuyama City University,Hiroshima,34.481747,133.381149,3.66,C
165,Eikei University of Hiroshima,Hiroshima,34.396297,132.468719,4.0,D
166,Shimonoseki City University,Yamaguchi,33.987431,130.933365,3.62,D
167,Yamaguchi Prefectural University,Yamaguchi,34.194012,131.498642,3.99,C
168,Sanyo-Onoda City University,Yamaguchi,33.957043,131.187805,3.71,D
169,Kagawa Prefectural University of Health Sciences,Kagawa,34.321964,134.158371,4.15,C
170,Ehime Prefectural University of Health Sciences,Ehime,33.780685,132.798233,4.18,C
171,University of Kochi,Kochi,33.53101,133.580902,4.01,C
172,Kochi University of Technology,Kochi,33.620975,133.719894,4.02,D
173,The University of Kitakyushu,Fukuoka,33.843643,130.878265,3.83,D
174,Kyushu Dental University,Fukuoka,33.871742,130.853775,3.82,D
175,Fukuoka Women's University,Fukuoka,33.665958,130.438522,4.09,C
176,Fukuoka Prefectural University,Fukuoka,33.649834,130.814484,3.88,C
177,University of Nagasaki,Nagasaki,33.186432,129.665451,3.74,D
178,Prefectural University of Kumamoto,Kumamoto,32.806938,130.764236,3.8,C
179,Oita University of Nursing And Health Sciences,Oita,33.154671,131.557205,3.73,
180,Miyazaki Municipal University,Miyazaki,31.925987,131.417236,3.9,D
181,Miyazaki Prefectural Nursing University,Miyazaki,31.857765,131.41423,4.21,C
182,Meio University,Okinawa,26.6168,127.969719,3.87,E
183,Okinawa Prefectural University of Arts,Okinawa,26.219156,127.718552,3.92,D
184,Okinawa Prefectural College of Nursing,Okinawa,26.206566,127.694443,4.08,D
185,Shunan　University,Yamaguchi,34.047821,131.84494,3.4,D
186,Kawasaki City College of Nursing,Kanagawa,35.536179,139.669891,3.0,C
187,Sapporo　University,Hokaido,43.010437,141.387207,3.79,F
188,Sapporo　Gakuin　University,Hokaido,43.067093,141.492981,3.85,F
189,Hakodate　University,Hokaido,41.78883,140.806671,3.55,F
190,Fuji　Women’s　University,Hokaido,43.079823,141.350479,3.98,F
191,Hokusei　Gakuen　University,Hokaido,43.023792,141.448715,3.9,D
192,Hokkai　-　Gakuen　University,Hokaido,43.046837,141.369034,3.81,E
193,Hokkaido　University　of　Science,Hokaido,43.134399,141.246552,3.77,E
194,Rakuno　Gakuen　University,Hokaido,43.071857,141.508728,3.77,E
195,AsahikawaUniversity,Hokaido,43.817345,142.445099,3.74,
196,Health　Sciences　University　of　Hokkaido,Hokaido,43.246895,141.561859,3.89,E
197,Hokkai　School　of　Commerce,Hokaido,43.047962,141.370026,3.61,F
198,Seisa　Dohto　University,Hokaido,42.980564,141.538483,3.87,F
199,Hokkaido　Information　University,Hokaido,43.078266,141.537704,3.83,E
200,Sapporo　International　University,Hokaido,43.002434,141.424561,3.85,F
201,Hokusho　University,Hokaido,43.063904,141.489609,3.96,F
202,Hokuyo University,Hokaido,42.600338,141.464294,3.97,F
203,Japanese　Red　Cross　Hokkaido　College　of　Nursing,Hokaido,43.830696,143.908508,3.94,F
204,Hokkaido　Bunkyo　University,Hokaido,42.890831,141.591461,3.62,F
205,Tenshi　College,Hokaido,43.077644,141.357895,4.02,D
206,Ikueikan　University,Hokaido,45.383553,141.718567,4.43,F
207,Sapporo　Otani　University,Hokaido,43.082176,141.36557,3.94,F
208,Sapporo　University　of　Health　Sciences,Hokaido,43.132084,141.41246,3.63,F
209,Japan　HealthCare　University,Hokaido,43.028351,141.409714,3.54,F
210,Hokkaido　Chitose　College　of　Rehabilitation,Hokaido,42.785515,141.598404,3.69,F
211,Aomori　University,Aomori,40.783684,140.78096,3.5,F
212,Shibata Gakuen University,Aomori,40.581272,140.485275,3.92,F
213,Hirosaki　Gakuin　University,Aomori,40.581535,140.465637,3.41,F
214,Hachinohe　Institute　of　Technology,Aomori,40.479317,141.562363,3.61,F
215,Hachinohe　Gakuin　University,Aomori,40.486752,141.571655,3.69,F
216,Aomori　Chuo　Gakuin　University,Aomori,40.783215,140.76239,3.66,F
217,Hirosaki　University　of　Health　and　Welfare,Aomori,40.588799,140.500473,3.71,F
218,Iwate　Medical　University,Iwate,39.613033,141.161285,3.57,D
219,Fuji　University,Iwate,39.361206,141.102646,3.63,F
220,The　University　of　Morioka,Iwate,39.816113,141.137207,3.78,F
221,Iwate　University　of　Health　and　Medical　Sciences,Iwate,39.703228,141.131851,3.33,F
222,Sendai　University,Miyagi,38.051693,140.771561,3.63,F
223,Tohoku　Gakuin　University,Miyagi,38.249531,140.877304,3.75,D
224,Tohoku　Institute　of　Technology,Miyagi,38.245861,140.852432,3.62,F
225,Tohoku　Fukushi　University,Miyagi,38.280109,140.847824,3.78,E
226,Tohoku　Medical　And　Pharmaceutical　University,Miyagi,38.285049,140.885559,3.74,C
227,Tohoku　Seikatsu　Bunka　University,Miyagi,38.302814,140.87027,3.64,F
228,Miyagi　Gakuin　Women’s　University,Miyagi,38.307381,140.853912,3.9,F
229,Ishinomaki　Senshu　University,Miyagi,38.454735,141.295639,3.65,F
230,Sendai　Shirayuri　Women’s　College,Miyagi,38.3214,140.902542,3.58,F
231,Tohoku　Bunka　Gakuen　University,Miyagi,38.277546,140.834534,3.69,F
232,Shokei　Gakuin　University,Miyagi,38.196583,140.830078,3.82,F
233,North　Asia　University,Akita,39.716419,140.157944,3.26,F
234,Akita　University　of　Nursing　And　Welfare,Akita,40.281265,140.554398,4.15,F
235,Japanese　Red　Cross　Akita　College　of　Nursing,Akita,39.685078,140.155457,3.84,F
236,Tohoku　University　of　Art　&　Design,Yamagata,38.218594,140.344955,4.12,C
237,Tohoku　University　of　Community　Service　And　Science,Yamagata,38.892662,139.817368,3.48,F
238,Tohoku　Bunkyo　College,Yamagata,38.209637,140.303146,3.82,F
239,Koriyama　Women’s　University,Fukushima,37.396683,140.352661,3.76,F
240,Ohu　University,Fukushima,37.41716,140.37413,3.55,F
241,Iryo Sosei University,Fukushima,37.018524,140.918915,3.46,F
242,Higashi　Nippon　International　University,Fukushima,37.057358,140.907944,3.85,F
243,Fukushima　College,Fukushima,37.799988,140.487549,3.86,F
244,Ibaraki　Christian　University,Ibaraki,36.514248,140.617523,3.87,E
245,Ryutsu　Keizai　University,Ibaraki,35.920582,140.168472,3.71,F
246,Tokiwa　University,Ibaraki,36.382111,140.438705,3.75,F
247,Tsukuba　International　University,Ibaraki,36.107651,140.198837,3.68,F
248,Tsukuba　Gakuin　University,Ibaraki,36.087753,140.107864,3.53,
249,Nihon　Wellness　Sports　University,Ibaraki,35.859886,140.145737,3.58,F
250,Ashikaga　University,Tochigi,36.35326,139.396027,3.66,F
251,Hakuoh　University,Tochigi,36.313366,139.807495,3.9,E
252,Sakushin　Gakuin　University,Tochigi,36.544083,139.973999,3.83,F
253,International　University　of　Health　And　Welfare,Tochigi,36.87048,140.069229,3.92,D
254,Utsunomiya　Kyowa　University,Tochigi,36.560459,139.890869,3.87,F
255,Bunsei　University　of　Art,Tochigi,36.598911,139.859558,3.8,F
256,Jichi　Medical　University,Tochigi,36.4034,139.858521,4.1,B
257,Dokkyo　Medical　University,Tochigi,36.472305,139.825363,3.95,B
258,Ikuei　University,Gunma,36.349194,139.050339,3.81,F
259,Kiryu　University,Gunma,36.378597,139.295685,3.43,F
260,Gunma　Paz　University,Gunma,36.349514,139.008804,3.79,E
261,Gunma　University　of　Health　And　Welfare,Gunma,36.355843,139.047913,3.49,E
262,Takasaki　University　of　Health　And　Welfare,Gunma,36.324902,139.054886,3.76,E
263,Takasaki　University　of　Commerce,Gunma,36.28566,139.034241,3.85,E
264,Jobu　University,Gunma,36.279305,139.176224,3.6,F
265,Kanto　Gakuen　University,Gunma,36.286465,139.356094,3.72,F
266,KYOAI　GAKUEN　UNIVERSITY,Gunma,36.35886,139.144562,3.96,E
267,Nihon　Institute　of　Medical　Science,Saitama,35.931942,139.343781,3.16,E
268,Nihon　Pharmaceutical　University,Saitama,35.991798,139.617203,3.44,F
269,Musashino　Gakuin　University,Saitama,35.866592,139.387009,3.71,F
270,Urawa　University,Saitama,35.890373,139.712662,4.04,F
271,Institute　of　Technologists,Saitama,36.115143,139.456436,3.83,F
272,Kyoei　University,Saitama,35.995708,139.722092,3.53,F
273,Saitama　Gakuen　University,Saitama,35.857311,139.713959,3.65,F
274,Shobi　University,Saitama,35.906914,139.460602,3.65,F
275,University　of　Human　Arts　And　Sciences,Saitama,35.970203,139.658371,3.61,F
276,Bunri　University　of　Hospitality,Saitama,35.891426,139.418518,3.49,F
277,Jumonji　University,Saitama,35.799313,139.552094,3.81,F
278,Heisei　International　University,Saitama,36.096184,139.637634,3.74,F
279,Tokyo International University,Saitama,35.927303,139.437866,3.96,F
280,Josai　University,Saitama,35.933132,139.34201,3.52,F
281,Toho　College　of　Music,Saitama,35.896595,139.523529,4.02,
282,Dokkyo　University,Saitama,35.83942,139.794189,3.95,C
283,Nippon　Institute　of　Technology,Saitama,36.026604,139.713486,3.66,F
284,Meikai　University,Saitama,35.933132,139.34201,3.77,E
285,Saitama　Medical　University,Saitama,35.936001,139.304062,3.8,D
286,Saitama　Institute　of　Technology,Saitama,36.19603,139.238739,3.59,F
287,Surugadai　University,Saitama,35.835243,139.334778,3.75,E
288,Seigakuin　University,Saitama,35.937756,139.595535,3.7,F
289,Kagawa　Nutrition　University,Saitama,35.952763,139.410965,4.12,E
290,Tohto　University,Saitama,36.18111,139.298462,3.46,F
291,Japan　University　of　Health　Sciences,Saitama,36.071983,139.73082,3.33,F
292,Chiba　Institute　of　Science,Chiba,35.701206,140.846268,3.31,F
293,Aikoku　Gakuen　University,Chiba,35.666553,140.157578,3.68,F
294,Kaichi　International　University,Chiba,35.862244,139.987976,4.07,F
295,Seiwa　University,Chiba,35.376106,139.958008,3.19,F
296,Josai　International　University,Chiba,35.580254,140.395966,3.61,F
297,Shukutoku　University,Chiba,35.574577,140.144501,3.81,E
298,Keiai　University,Chiba,35.633312,140.103821,3.74,F
299,Chiba　Institute　of　Technology,Chiba,35.688942,140.021255,3.75,D
300,Chiba　University　of　Commerce,Chiba,35.742493,139.907028,3.69,E
301,Chuogakuin　University,Chiba,35.8829,140.01796,3.76,F
302,Reitaku　University,Chiba,35.831802,139.951187,3.81,E
303,Wayo　Women’s　University,Chiba,35.742989,139.904266,4.05,F
304,International　Budo　University,Chiba,35.161568,140.322876,3.59,F
305,Kanda　University　of　International　Studies,Chiba,35.656132,140.042236,4.05,D
306,Chiba　Keizai　University,Chiba,35.62973,140.109146,3.65,E
307,Shumei　University,Chiba,35.77285,140.099426,3.93,E
308,Kawamura　Gakuen　Woman’s　University,Chiba,35.875843,140.053757,3.51,F
309,Tokyo　University　of　Information　Sciences,Chiba,35.637684,140.203354,3.83,E
310,Tokyo　Christian　University,Chiba,35.789703,140.125168,4.23,
311,Seitoku　University,Chiba,35.783543,139.903381,3.6,F
312,Edogawa　University,Chiba,35.877056,139.938934,3.57,E
313,Ryotokuji　University,Chiba,35.639462,139.926636,3.66,E
314,Uekusa　Gakuen　University,Chiba,35.634373,140.181976,3.88,F
315,Saniku　Gakuin　College,Chiba,35.243866,140.262909,4.08,F
316,Kameda University　of　Health　Sciences,Chiba,35.102497,140.100525,3.31,F
317,Tokyo　University　of　Social　Welfare,Gunma,36.285713,139.194138,3.82,F
318,Atomi　University,Tokyo,35.71693,139.734116,3.83,E
319,Bunkyo　University,Tokyo,35.605209,139.705902,3.89,D
320,Bunkyo　Gakuin　University,Tokyo,35.718536,139.757568,3.74,F
321,Mejiro　University,Tokyo,35.716835,139.681244,3.51,E
322,Tokyo　Seitoku　University,Tokyo,35.756275,139.72403,3.87,F
323,Toyo　Gakuen　University,Tokyo,35.704567,139.757568,3.54,F
324,Teikyo　Heisei　University,Tokyo,35.732563,139.718811,3.8,E
325,Aoyama　Gakuin　University,Tokyo,35.6618,139.708862,4.03,A
326,Ueno　Gakuen　University,Tokyo,35.715767,139.782227,3.69,
327,Otsuma　Women’s　University,Tokyo,35.69109,139.742264,3.95,D
328,Gakushuin　University,Tokyo,35.721264,139.707245,4.11,B
329,Kitasato University,Tokyo,35.645351,139.725525,3.98,D
330,Kyoritsu　Women’s　University,Tokyo,35.693314,139.757553,3.92,D
331,Keio　University,Tokyo,35.649147,139.742828,4.19,S
332,Kogakuin　University,Tokyo,35.690514,139.695648,3.64,B
333,Kokugakuin　University,Tokyo,35.655972,139.711365,3.91,
334,Kokushikan　University,Tokyo,35.646896,139.653458,3.75,D
335,Komazawa　University,Tokyo,35.628857,139.65863,3.73,C
336,Jissen　Women’s　University,Tokyo,35.67152,139.38974,3.92,D
337,Shibaura　Institute　of　Technology,Tokyo,35.659737,139.794281,3.94,C
338,Juntendo　University,Tokyo,35.701954,139.761734,4.07,C
339,Sophia　University,Tokyo,35.683189,139.732742,4.2,A
340,Showa　University,Tokyo,35.60899,139.704071,3.91,C
341,Showa　Women’s　University,Tokyo,35.645466,139.675186,3.94,C
342,Showa　Pharmaceutical　University,Tokyo,35.55368,139.470673,3.55,C
343,Joshibi　University　of　Art　And　Design,Tokyo,35.693089,139.662079,4.0,E
344,Sugino　Fashion　College,Tokyo,35.631489,139.71553,3.51,F
345,Seijo　University,Tokyo,35.642353,139.600174,3.81,B
346,"University　of　The　Sacred　Heart,　Tokyo",Tokyo,35.653835,139.717285,4.33,D
347,Seisen　University,Tokyo,35.626957,139.729797,4.15,E
348,St.Luke’s　International　University,Tokyo,35.668316,139.775391,4.41,A
349,Senshu　University,Tokyo,35.6968,139.753876,3.74,C
350,Taisho　University,Tokyo,35.741486,139.728256,3.8,E
351,Daito　Bunka　University,Tokyo,35.782089,139.667938,3.69,E
352,Takachiho　University,Tokyo,35.682804,139.638245,3.56,F
353,Takushoku　University,Tokyo,35.715481,139.737274,3.64,E
354,Tama　Art　University,Tokyo,35.61409,139.637085,3.95,D
355,Chuo　University,Tokyo,35.638794,139.399811,3.91,B
356,Tokai　University,Kanagawa,35.359573,139.271378,3.8,E
357,Tokyo　Medical　University,Tokyo,35.69355,139.71225,3.9,A
358,Tokyo　Kasei　University,Tokyo,35.756275,139.719482,3.95,E
359,Tokyo　Kasei　Gakuin　University,Tokyo,35.60841,139.310562,3.57,F
360,Tokyo　Dental　College,Tokyo,35.701309,139.754852,4.16,B
361,The　Jikei　University　School　of　Medicine,Tokyo,35.662537,139.75029,4.28,A
362,Tokyo　Woman's　Christian　University,Tokyo,35.709896,139.591202,3.93,C
363,Tokyo　Women’s　Medical　University,Tokyo,35.696342,139.719635,4.29,C
364,Tokyo　Denki　University,Tokyo,35.748764,139.806381,3.68,C
365,Tokyo　University　of　Agriculture,Tokyo,35.640781,139.631912,3.94,D
366,Tokyo　University　of　Pharmacy　And　Life　Sciences,Tokyo,35.638222,139.385071,3.82,D
367,Tokyo　University　of　Science,Tokyo,35.699505,139.741348,3.85,B
368,Toho　University,Tokyo,35.570171,139.724884,3.98,D
369,Toyo University,Tokyo,35.724289,139.750763,3.83,C
370,Tokyo　College　of　Music,Tokyo,35.647171,139.699265,4.14,F
371,Nishogakusha　University,Tokyo,35.691261,139.74527,3.67,
372,Nihon　University,Tokyo,35.691322,139.737396,3.71,D
373,Nippon　Medical　School,Tokyo,35.721233,139.758453,3.99,S
374,The　Nippon　Dental　University,Tokyo,35.697971,139.746216,3.16,D
375,Japan　College　of　Social　Work,Tokyo,35.767517,139.508698,3.86,E
376,Japan Women’s University,Tokyo,35.715923,139.721085,4.09,C
377,Japan　Women’s　College　of　Physical　Education,Tokyo,35.676498,139.590546,4.0,F
378,Nippon　Sport　Science　University,Tokyo,35.621609,139.650009,4.03,E
379,Japan　Lutheran　College,Tokyo,35.686474,139.527481,3.97,F
380,Bunka　Gakuen　University,Tokyo,35.685848,139.693954,4.08,E
381,Hosei　University,Tokyo,35.695679,139.74115,3.89,B
382,Hoshi　University,Tokyo,35.618053,139.712601,3.9,B
383,Musashi　University,Tokyo,35.736893,139.666885,3.96,B
384,Tokyo　City　University,Tokyo,35.596542,139.650925,3.88,C
385,Musashino　Academia　Musicae,Tokyo,35.741283,139.672195,3.86,F
386,Meiji　University,Tokyo,35.697712,139.761398,4.01,A
387,Meiji　Gakuin　University,Tokyo,35.636738,139.730743,3.9,B
388,Meiji　Pharmaceutical　University,Tokyo,35.781338,139.50618,3.93,C
389,Rikkyo　University,Tokyo,35.729706,139.704742,4.09,A
390,Rissho　University,Tokyo,35.62101,139.724075,3.76,E
391,Waseda　University,Tokyo,35.710083,139.722244,4.14,S
392,International　College　For　Postgraduate　Buddhist　Studies,Tokyo,35.710667,139.740997,5.0,
